##万󠄂	「一／ぼう」
懲󠄁	「懲」の「王」に代えて「一／壬」
房󠄁	「房」の「戸」に代えて「戸の旧字」
所󠄁	「所」の「戸」に代えて「戸の旧字」
扁󠄁	「編のつくり」の「戸」に代えて「戸の旧字」
扇󠄁	「戸の旧字＋栩のつくり」
扈󠄁	「扈」の「戸」に代えて「戸の旧字」
扉󠄁	「戸の旧字／非」
扉󠄁	「扉」の「戸」に代えて「戸の旧字」
扱󠄁	「てへん＋(岌－山)」
抱󠄁	「てへん＋鉋のつくり」
拐󠄁	「拐」の「刀」に代えて「力」
拳󠄁	「券」の「刀」に代えて「手」
拴󠄂	「てへん＋全」
挽󠄁	「てへん＋俛のつくり」
捗󠄁	「てへん＋陟のつくり」
捨󠄁	「てへん＋舍」
捩󠄁	「てへん＋(戸の旧字＋犬)」
捲󠄁	「てへん＋卷」
掃󠄁	「てへん＋帚」
排󠄁	「てへん＋非」
採󠄁	「てへん＋綵のつくり」
揃󠄁	「てへん＋(剪－刀)」
揑󠄂	「捏」の「日」に代えて「臼」
援󠄁	「てへん＋爰」
搆󠄁	「搆」の「冉」に代えて「冉の4画目左右に突き出る」
搽󠄁	「てへん＋茶」の「ホ」に代えて「木」
摩󠄁	「麾」の「毛」に代えて「手」
摺󠄁	「てへん＋褶のつくり」
撰󠄁	「てへん＋饌のつくり」
擢󠄁	「てへん＋櫂のつくり」
敏󠄀	「誨のつくり＋攵」
敷󠄁	「(甫／方)＋攵」
斐󠄁	「非／(吝－口)」
斧󠄀	「父／斤」
於󠄁	「於」の「冬－夂」に代えて「冫」
既󠄀	「漑－さんずい」
晦󠄁	「日＋誨のつくり」
晩󠄀	「日＋俛のつくり」
普󠄁	「(朔のへん－屮)／(墟のつくり－虍)／日」
晷󠄁	「日／咎」の「人」に代えて「占－口」
暑󠄁	「暑」の「者」に代えて「睹のつくり」
暖󠄁	「日＋爰」
曁󠄁	「(漑－さんずい)／旦」
曙󠄁	「曙」の「者」に代えて「睹のつくり」
曜󠄁	「日＋櫂のつくり」
更󠄁	「哽のつくり」
朋󠄁	「萠－くさかんむり」
朗󠄀	「螂－虫」の「おおざと」に代えて「月」
杓󠄁	「木＋(勹＜一)」
杖󠄁	「木＋丈」
杞󠄁	「木＋巳」
柊󠄁	「柊」の「冬－夂」に代えて「冫」
柱󠄁	「木＋(麈－鹿)」
桯󠄂	「木＋呈」
梅󠄀	「木＋誨のつくり」
梛󠄁	「木＋那」の「二」に代えて「はみ出た横棒二本」
梢󠄁	「木＋悄のつくり」
棚󠄁	「木＋(萠－くさかんむり)」
楢󠄁	「木＋鰌のつくり」
榔󠄁	「木＋(螂－虫)」
槪󠄀	「漑」の「さんずい」に代えて「木」
槪󠄁	「木＋皀＋旡」
榊󠄁	「木＋(示＋申)」
構󠄁	「構」の「冉」に代えて「冉の4画目左右に突き出る」
槌󠄁	「二点しんにょうの槌」
樋󠄁	「二点しんにょうの樋」
樽󠄁	「木＋墫のつくり」
櫛󠄀	「木＋節」の「即」に代えて「喞－口」
欄󠄁	「木＋闌」
次󠄁	「咨－口」
歎󠄁	「艱のへん＋欠」
殺󠄀	「殺」の「木」に代えて「木＋右上に丶」
毋󠄂	「毋の真ん中の縦棒が下につきぬけたもの」
汧󠄂	「さんずい＋研のつくり」
汲󠄁	「さんずい＋(岌－山)」
泡󠄁	「さんずい＋鉋のつくり」
注󠄁	「さんずい＋(麈－鹿)」
洴󠄂	「さんずい＋并」
浩󠄁	「さんずい＋晧のつくり」
浮󠄁	「さんずい＋孚」
海󠄀	「さんずい＋誨のつくり」
浸󠄁	「さんずい＋駸のつくり」
消󠄁	「さんずい＋悄のつくり」
淫󠄁	「滔」の「臼」に代えて「壬」
添󠄁	「添」の「夭」に代えて「俣のつくり－口」
渚󠄀	「さんずい＋睹のつくり」
港󠄁	「港」の「己」に代えて「巳」
湮󠄁	「さんずい＋(西／土)」
溝󠄁	「溝」の「冉」に代えて「冉の4画目左右に突き出る」
